Index,StudyName,GoogleDriveFolderName,ModelFilesLink,HydroClimate,ShortDescription,DV_Path,SV_Path,Start_Date,End_Date,Source,Metadata
s0072,s0072_DCRadjHist_cc50_2020LU_salmonflows,s0072_DCRadjHist_cc50_2020LU_salmonflows,https://drive.google.com/drive/folders/1ZRVlIMlH_rcbWD22-smikawt5BxGJyEn?usp=drive_link,2023DCR CC50-2043,"Same as s0031 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0072_DCRadjHist_cc50_2020LU_salmonflows\Model_Files\DSS\output\s0072_DCRadjHist_2020LU_cc50_salmonflows_DV_v01.dss,s0072_DCRadjHist_cc50_2020LU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.14.dss,10/31/1921,9/30/2021,,
s0073,s0073_DCRadjHist_cc50_CVgwLU_eflows,s0073_DCRadjHist_cc50_CVgwLU_eflows,https://drive.google.com/drive/folders/1ledL9gJJWQkLof_nSk90brFwFkpCVxdC?usp=drive_link,2023DCR CC50-2043,"Same as s0032 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0073_DCRadjHist_cc50_CVgwLU_eflows\Model_Files\DSS\output\s0073_DCRadjHist_cc50_CVgwLU_eflows_DV_v01_20260112.dss,s0073_DCRadjHist_cc50_CVgwLU_eflows\Model_Files\DSS\input\coeqwal_s9999_SV_v1.11.4.dss,10/31/1921,9/30/2021,,
s0074,s0074_DCRadjHist_cc50_CVgwLU_salmonflows,s0074_DCRadjHist_cc50_CVgwLU_salmonflows,https://drive.google.com/drive/folders/1agNOOTYnEsQ755ALDaiVSCbN9TbriZSo?usp=drive_link,2023DCR CC50-2043,"Same as s0033 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0074_DCRadjHist_cc50_CVgwLU_salmonflows\Model_Files\DSS\output\s0074_DCRadjHist_CVgwLU_salmonflows_DV_v02_20260120.dss,s0074_DCRadjHist_cc50_CVgwLU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v1.11.15.dss,10/31/1921,9/30/2021,,
s0075,s0075_DCRadjBL_cc50_2020LU_PriorityHHS,s0075_DCRadjBL_cc50_2020LU_PriorityHHS,https://drive.google.com/drive/folders/1AO57k-GMdEEu5YD2eq8xgZ_uxCqJDbeo?usp=drive_link,2023DCR CC50-2043,"Same as s0035 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0075_DCRadjBL_cc50_2020LU_PriorityHHS\Model_Files\DSS\output\s0075_DCRadjBL_cc50_2020LU_PriorityHHS_DV_v1_20260224.dss,s0075_DCRadjBL_cc50_2020LU_PriorityHHS\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0076,s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN,s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN,https://drive.google.com/drive/folders/1JDkHzPB8Yyb2TEQDnBcSdzj2ZTKgPDTz?usp=drive_link,2023DCR CC50-2043,"Same as s0036 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN\Model_Files\DSS\output\s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN_DV_v1_20260224.dss,s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0077,s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN,s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN,https://drive.google.com/drive/folders/17nyxRHXGYchXd6zrNHH3ehDM_MIsDYw7?usp=drive_link,2023DCR CC50-2043,"Same as s0037 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN\Model_Files\DSS\output\s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN_DV_v1_20260224.dss,s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0078,s0078_USBRAlt3_cc50_2020LU_DeltaOut65,s0078_USBRAlt3_cc50_2020LU_DeltaOut65,https://drive.google.com/drive/folders/1HnQMNjFZhDuqC40gin95X-oDVH9SfvP6?usp=drive_link,2023DCR CC50-2043,"Same as s0039 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0078_USBRAlt3_cc50_2020LU_DeltaOut65\Model_Files\DSS\output\s0078_USBRAlt3_cc50_2020LU_DeltaOut65_DV_v1_20260210.dss,s0078_USBRAlt3_cc50_2020LU_DeltaOut65\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0079,s0079_USBRAlt3_cc50_2020LU_DeltaOut35,s0079_USBRAlt3_cc50_2020LU_DeltaOut35,https://drive.google.com/drive/folders/1fwdXhak3u7Wm8ZgvPrw_IH8s4jXsLnlX?usp=drive_link,2023DCR CC50-2043,"Same as s0040 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0079_USBRAlt3_cc50_2020LU_DeltaOut35\Model_Files\DSS\output\s0079_USBRAlt3_cc50_2020LU_DeltaOut35_DV_v1_20260210.dss,s0079_USBRAlt3_cc50_2020LU_DeltaOut35\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0080,s0080_USBRAlt3_cc50_2020LU_DeltaOut45,s0080_USBRAlt3_cc50_2020LU_DeltaOut45,https://drive.google.com/drive/folders/1B5LgPVwP5ZxW5BlQgp6WP07S9OGQbk0x?usp=drive_link,2023DCR CC50-2043,"Same as s0041 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0080_USBRAlt3_cc50_2020LU_DeltaOut45\Model_Files\DSS\output\s0080_USBRAlt3_cc50_2020LU_DeltaOut45_DV_v1_20260211.dss,s0080_USBRAlt3_cc50_2020LU_DeltaOut45\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0081,s0081_USBRAlt3_cc50_2020LU_DeltaOut55,s0081_USBRAlt3_cc50_2020LU_DeltaOut55,https://drive.google.com/drive/folders/1k0FdvRPRFmcFjMx6ZRQWJIDrmSvTDnVB?usp=drive_link,2023DCR CC50-2043,"Same as s0042 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0081_USBRAlt3_cc50_2020LU_DeltaOut55\Model_Files\DSS\output\s0081_USBRAlt3_cc50_2020LU_DeltaOut55_DV_v1_20260211.dss,s0081_USBRAlt3_cc50_2020LU_DeltaOut55\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.4.dss,10/31/1921,9/30/2021,,
s0082,s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20,s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20,https://drive.google.com/drive/folders/1ls4OAdyBofcFmWdkqOs7dwFVttVk3B_z?usp=drive_link,2023DCR CC50-2043,"Same as s0044 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20\Model_Files\DSS\output\s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20_20260225.dss,s0082_DCRadjHist_cc50_2020LU_ShastaCarryover20\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0083,s0083_DCRadjBL_cc50_2020LU_RelaxFallX2,s0083_DCRadjBL_cc50_2020LU_RelaxFallX2,https://drive.google.com/drive/folders/1uV4eakXRYGoB3zeEd2N-wCcdzt7BKw3J?usp=drive_link,2023DCR CC50-2043,"Same as s0045 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0083_DCRadjBL_cc50_2020LU_RelaxFallX2\Model_Files\DSS\output\s0083_DCRadjBL_cc50_2020LU_RelaxFallX2_20260212.dss,s0083_DCRadjBL_cc50_2020LU_RelaxFallX2\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0084,s0084_DCRadjHist_2020LU_EflowsV2,s0084_DCRadjHist_2020LU_EflowsV2,https://drive.google.com/drive/folders/1QMbeQF3zfqHEKWeG3l-a2OI1tWYhzmJi?usp=drive_link,2023DCR CC50-2043,"Same as s0046 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0084_DCRadjHist_2020LU_EflowsV2\Model_Files\DSS\output\s0084_DCRadjHist_2020LU_EflowsV2_20260212.dss,s0084_DCRadjHist_2020LU_EflowsV2\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.3.dss,10/31/1921,9/30/2021,,
s0085,s0085_DWRadapt25_cc50_2020LU_DCP,s0085_DWRadapt25_cc50_2020LU_DCP,https://drive.google.com/drive/folders/1LmHUQVCELobPmGSGt4qb01WlmhTUJYIV?usp=drive_link,2023DCR CC50-2043,"Same as s0065 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0085_DWRadapt25_cc50_2020LU_DCP\Model_Files\DSS\output\s0085_DWRadapt25_cc50_2020LU_DCP_DV_v1_20260218.dss,s0085_DWRadapt25_cc50_2020LU_DCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.13.4.dss,10/31/1921,9/30/2021,,
s0087,s0087_CC95_SJVgwLimit_20LU_wTUCP,s0087_CC95_SJVgwLimit_20LU_wTUCP,https://drive.google.com/drive/folders/1QpYghGGm61bh9o61v786H8XZtb1r0ah0?usp=drive_link,2023DCR CC95-2043,"Same as s0025 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0087_CC95_SJVgwLimit_20LU_wTUCP\Model_Files\DSS\output\s0087_SJVgwLimit_cc95_2020LU_wTUCP_DV_v0.1.dss,s0087_CC95_SJVgwLimit_20LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.3.dss,10/31/1921,9/30/2021,,
s0088,s0088_SJVgwLimit_cc95_SGMALU_wTUCP,s0088_SJVgwLimit_cc95_SGMALU_wTUCP,https://drive.google.com/drive/folders/1aiG_JPxQjBXDsej0J4ESMVQclwbSpi62?usp=drive_link,2023DCR CC95-2043,"Same as s0026 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0088_SJVgwLimit_cc95_SGMALU_wTUCP\Model_Files\DSS\output\s0088_SJVgwLimit_cc95_SGMALU_wTUCP_DV_v0.1_20260111.dss,s0088_SJVgwLimit_cc95_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.12.4.dss,10/31/1921,9/30/2021,,
s0089,s0089_CVgwLimit_cc95_SGMALU_wTUCP,s0089_CVgwLimit_cc95_SGMALU_wTUCP,https://drive.google.com/drive/folders/1YXnHJB5FKs3aNcU-5Y4XHYeQWOHaY2XR?usp=drive_link,2023DCR CC95-2043,"Same as s0028 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0089_CVgwLimit_cc95_SGMALU_wTUCP\Model_Files\DSS\output\s0089_CVgwLimit_cc95_SGMALU_wTUCP_20250216.dss,s0089_CVgwLimit_cc95_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.11.4.dss,10/31/1921,9/30/2021,,
s0090,s0090_DCRadjHist_cc95_2020LU_eflowsV1_v0.2,s0090_DCRadjHist_cc95_2020LU_eflowsV1_v0.2,https://drive.google.com/drive/folders/14mbT2SO_aY_oBYRVMnUmQknJtHGYMlPR?usp=drive_link,2023DCR CC95-2043,"Same as s0029 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0090_DCRadjHist_cc95_2020LU_eflowsV1_v0.2\Model_Files\DSS\output\s0090_DCRadjHist_cc95_2020LU_eflowsV1_v0.2_20260215.dss,s0090_DCRadjHist_cc95_2020LU_eflowsV1_v0.2\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.3.dss,10/31/1921,9/30/2021,,
s0091,s0091_DCRadjHist_cc95_2020LU_NoFlowReqt,s0091_DCRadjHist_cc95_2020LU_NoFlowReqt,https://drive.google.com/drive/folders/1WCMkAb4-G027JENju2F-8U6fyFf8EqHD?usp=drive_link,2023DCR CC95-2043,"Same as s0030 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0091_DCRadjHist_cc95_2020LU_NoFlowReqt\Model_Files\DSS\output\s0091_DCRadjHist_cc95_2020LU_NoFlowReqt_20260215.dss,s0091_DCRadjHist_cc95_2020LU_NoFlowReqt\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.3.dss,10/31/1921,9/30/2021,,
s0092,s0092_DCRadjHistcc95_2020LU_salmonflows,s0092_DCRadjHistcc95_2020LU_salmonflows,https://drive.google.com/drive/folders/1NPrlrm2tw5dr1LyI2Lc3kFKW_qSjigde?usp=drive_link,2023DCR CC95-2043,"Same as s0031 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0092_DCRadjHistcc95_2020LU_salmonflows\Model_Files\DSS\output\s0092_DCRadjHist_2020LU_salmonflows_DV_v01.dss,s0092_DCRadjHistcc95_2020LU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.14.dss,10/31/1921,9/30/2021,,
s0093,s0093_DCRadjHist_cc95_CVgwLU_eflows,s0093_DCRadjHist_cc95_CVgwLU_eflows,https://drive.google.com/drive/folders/1dVYr_4w2D2wP5wd8x5EFT8kuLFly7zUk?usp=drive_link,2023DCR CC95-2043,"Same as s0032 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0093_DCRadjHist_cc95_CVgwLU_eflows\Model_Files\DSS\output\s0093_DCRadjHist_cc95_CVgwLU_eflows_20250216.dss,s0093_DCRadjHist_cc95_CVgwLU_eflows\Model_Files\DSS\input\coeqwal_s9999_SV_v2.11.4.dss,10/31/1921,9/30/2021,,
s0094,s0094_DCRadjHist_CVgwLU_salmonflows,s0094_DCRadjHist_CVgwLU_salmonflows,https://drive.google.com/drive/folders/1SD-OT5alWR4BDJw6QevBP4QPDt_P8JwI?usp=drive_link,2023DCR CC95-2043,"Same as s0033 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0094_DCRadjHist_cc95_CVgwLU_salmonflows\Model_Files\DSS\output\s0094_DCRadjHist_cc95_CVgwLU_salmonflows_DV_v2_20260320.dss,s0094_DCRadjHist_cc95_CVgwLU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v2.11.15.dss,10/31/1921,9/30/2021,,
s0095,s0095_DCRadjBL_cc95_2020LU_PriorityHHS,s0095_DCRadjBL_cc95_2020LU_PriorityHHS,https://drive.google.com/drive/folders/1CLyUFnaJkVQU4B1xlOy89NGbMA_Cet1n?usp=drive_link,2023DCR CC95-2043,"Same as s0035 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0095_DCRadjBL_cc95_2020LU_PriorityHHS\Model_Files\DSS\output\s0095_DCRadjBL_cc95_2020LU_PriorityHHS_DV_v1_20260306.dss,s0095_DCRadjBL_cc95_2020LU_PriorityHHS\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0096,s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN,s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN,https://drive.google.com/drive/folders/1wmHKlq2BGfKVv54Iqe82-_fo1TadHOLx?usp=drive_link,2023DCR CC95-2043,"Same as s0036 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN\Model_Files\DSS\output\s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN_DV_v1_20260308.dss,s0096_DCRadjBL_cc95_2020LU_PriorityFuncCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0097,s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN,s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN,https://drive.google.com/drive/folders/1L15ZHescpO57HXxbMCJ1Jp66qJffjK9O?usp=drive_link,2023DCR CC95-2043,"Same as s0037 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN\Model_Files\DSS\output\s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN_DV_v1_20260308.dss,s0097_DCRadjBL_cc95_2020LU_PriorityFullCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0098,s0098_USBRAlt3_cc95_2020LU_DeltaOut65,s0098_USBRAlt3_cc95_2020LU_DeltaOut65,https://drive.google.com/drive/folders/15FRuSWnWZEkMvjxO7Phc4qvegOJRMrRQ?usp=drive_link,2023DCR CC95-2043,"Same as s0039 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0098_USBRAlt3_cc95_2020LU_DeltaOut65\Model_Files\DSS\output\s0098_USBRAlt3_cc95_2020LU_DeltaOut65_DV_v1_20260219.dss,s0098_USBRAlt3_cc95_2020LU_DeltaOut65\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0099,s0099_USBRAlt3_cc95_2020LU_DeltaOut35,s0099_USBRAlt3_cc95_2020LU_DeltaOut35,https://drive.google.com/drive/folders/1ft3LGREpyYK_6JB-ORbxn6wA68EctRu9?usp=drive_link,2023DCR CC95-2043,"Same as s0040 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0099_USBRAlt3_cc95_2020LU_DeltaOut35\Model_Files\DSS\output\s0099_USBRAlt3_cc95_2020LU_DeltaOut35_DV_v1_20260219.dss,s0099_USBRAlt3_cc95_2020LU_DeltaOut35\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0100,s0100_USBRAlt3_cc95_2020LU_DeltaOut45,s0100_USBRAlt3_cc95_2020LU_DeltaOut45,https://drive.google.com/drive/folders/1UYes5HWD9V2-Ul6wWzBUu7roc6vPLW6I?usp=drive_link,2023DCR CC95-2043,"Same as s0041 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0100_USBRAlt3_cc95_2020LU_DeltaOut45\Model_Files\DSS\output\s0100_USBRAlt3_cc95_2020LU_DeltaOut45_DV_v1_20260306.dss,s0100_USBRAlt3_cc95_2020LU_DeltaOut45\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0101,s0101_USBRAlt3_cc95_2020LU_DeltaOut55,s0101_USBRAlt3_cc95_2020LU_DeltaOut55,https://drive.google.com/drive/folders/1KshPKUdylMc6OgQtGW1-sHnBg2M-64lx?usp=drive_link,2023DCR CC95-2043,"Same as s0042 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0101_USBRAlt3_cc95_2020LU_DeltaOut55\Model_Files\DSS\output\s0101_USBRAlt3_cc95_2020LU_DeltaOut55_DV_v1_20260306.dss,s0101_USBRAlt3_cc95_2020LU_DeltaOut55\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.4.dss,10/31/1921,9/30/2021,,
s0102,s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20,s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20,https://drive.google.com/drive/folders/1_VA6CKecM__C-go1LSJWxgpeHo9dXoWc?usp=drive_link,2023DCR CC95-2043,"Same as s0044 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20\Model_Files\DSS\output\s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20_20250217.dss,s0102_DCRadjHist_cc95_2020LU_ShastaCarryover20\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0103,s0103_DCRadjBL_cc95_2020LU_RelaxFallX2,s0103_DCRadjBL_cc95_2020LU_RelaxFallX2,https://drive.google.com/drive/folders/14qU1vVQwivch-yKbByb7_G8B-oXxGYUR?usp=drive_link,2023DCR CC95-2043,"Same as s0045 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0103_DCRadjBL_cc95_2020LU_RelaxFallX2\Model_Files\DSS\output\s0103_DCRadjBL_cc95_2020LU_RelaxFallX2_20250217.dss,s0103_DCRadjBL_cc95_2020LU_RelaxFallX2\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0104,s0104_DCRadjHist_cc95_2020LU_EflowsV2,s0104_DCRadjHist_cc95_2020LU_EflowsV2,https://drive.google.com/drive/folders/1fCSgzzp_fiGaiL0XwxYiKNOJ2WUsAgP8?usp=drive_link,2023DCR CC95-2043,"Same as s0046 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0104_DCRadjHist_cc95_2020LU_EflowsV2\Model_Files\DSS\output\s0104_DCRadjHist_cc95_2020LU_EflowsV2_20250216.dss,s0104_DCRadjHist_cc95_2020LU_EflowsV2\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.3.dss,10/31/1921,9/30/2021,,
s0105,s0105_DWRadapt25_cc95_2020LU_DCP,s0105_DWRadapt25_cc95_2020LU_DCP,https://drive.google.com/drive/folders/17zx1u7A0QVEtW0B2aDqk8t08eYcH5VWR?usp=drive_link,2023DCR CC95-2043,"Same as s0065 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0105_DWRadapt25_cc95_2020LU_DCP\Model_Files\DSS\output\s0105_DWRadapt25_cc95_2020LU_DCP_DV_v1_20260218.dss,s0105_DWRadapt25_cc95_2020LU_DCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.13.4.dss,10/31/1921,9/30/2021,,
s0107,s0107_adjBL_cqlTAI_wTUCP,s0107_adjBL_cqlTAI_wTUCP,s0107_adjBL_cqlTAI_wTUCP,COEQWAL TAIESM1,Same as 11 but using Coeqwal's TAIESM1 climate,s0107_adjBL_cqlTAI_wTUCP\Model_Files\DSS\output\coeqwal_s0107_adjBL_cqlTAI_wTUCP_DV_v1_20260311.dss,s0107_adjBL_cqlTAI_wTUCP\Model_Files\DSS\input\SV_COEQWAL_TAIESM1_20260309.dss,10/31/1921,9/30/2021,,
s0108,s0108_DCRbl_cqlTAI_2020LU_wTUCP,s0108_DCRbl_cqlTAI_2020LU_wTUCP,s0108_DCRbl_cqlTAI_2020LU_wTUCP,COEQWAL TAIESM1,Same as 20 but using Coeqwal's TAIESM1 climate,s0108_DCRbl_cqlTAI_2020LU_wTUCP\Model_Files\DSS\output\s0108_DCRbl_cqlTAI_2020LU_wTUCP_DV_v1_20260312.dss,s0108_DCRbl_cqlTAI_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0109,s0109_DCRbl_cqlTAI_2020LU_woTUCP,s0109_DCRbl_cqlTAI_2020LU_woTUCP,s0109_DCRbl_cqlTAI_2020LU_woTUCP,COEQWAL TAIESM1,Same as 21 but using Coeqwal's TAIESM1 climate,s0109_DCRbl_cqlTAI_2020LU_woTUCP\Model_Files\DSS\output\s0109_DCRbl_cqlTAI_2020LU_woTUCP_DV_v1_20260312.dss,s0109_DCRbl_cqlTAI_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0110,s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP,s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP,s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP,COEQWAL TAIESM1,Same as 24 but using Coeqwal's TAIESM1 climate,s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP\Model_Files\DSS\output\s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP_DV_v1_20260312.dss,s0110_USBR24Alt2V1_cqlTAI_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0111,s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP,s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP,s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP,COEQWAL TAIESM1,Same as 23 but using Coeqwal's TAIESM1 climate,s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP\Model_Files\DSS\output\s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP_DV_v1_20260312.dss,s0111_USBR24Alt2V1_cqlTAI_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0112,s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP,s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP,s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP,COEQWAL TAIESM1,Same as 25 but using Coeqwal's TAIESM1 climate,s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP\Model_Files\DSS\output\s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP_DV_v1_20260313.dss,s0112_SJVgwLimit_cqlTAI_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0113,s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP,s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP,s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP,COEQWAL TAIESM1,Same as 26 but using Coeqwal's TAIESM1 climate,s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP\Model_Files\DSS\output\s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP_DV_v1_20260315.dss,s0113_SJVgwLimit_cqlTAI_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.12.2.dss,10/31/1921,9/30/2021,,
s0114,s0114_CVgwLimit_cqlTAI_2020LU_wTUCP,s0114_CVgwLimit_cqlTAI_2020LU_wTUCP,s0114_CVgwLimit_cqlTAI_2020LU_wTUCP,COEQWAL TAIESM1,Same as 27 but using Coeqwal's TAIESM1 climate,s0114_CVgwLimit_cqlTAI_2020LU_wTUCP\Model_Files\DSS\output\0114_CVgwLimit_cqlTAI_2020LU_wTUCP_DV_v1_20260314.dss,s0114_CVgwLimit_cqlTAI_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0115,s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP,s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP,s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP,COEQWAL TAIESM1,Same as 28 but using Coeqwal's TAIESM1 climate,s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP\Model_Files\DSS\output\s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP_DV_v1_20260314.dss,s0115_CVgwLimit_cqlTAI_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.11.2.dss,10/31/1921,9/30/2021,,
s0117,s0117_DCRadjHist_cqlTAI_2020LU_NoFlowReqt,s0117_DCRadjHist_cqlTAI_2020LU_NoFlowReqt,s0117_DCRadjHist_cqlTAI_2020LU_NoFlowReqt,COEQWAL TAIESM1,Same as 30 but using Coeqwal's TAIESM1 climate,s0117_DCRadjHist_cqlTAI_2020LU_NoFlowReqt\Model_Files\DSS\output\s0117_DCRadjHist_TAIESM1_2020LU_NoFlowReqt_20260316.dss,s0117_DCRadjHist_cqlTAI_2020LU_NoFlowReqt\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
